FIP,2/1/1918,3/1/1918,4/1/1918,5/1/1918,6/1/1918,7/1/1918,8/1/1918,9/1/1918,10/1/1918,11/1/1918,12/1/1918,1/1/1919,2/1/1919,3/1/1919,4/1/1919,5/1/1919,6/1/1919,7/1/1919,8/1/1919,9/1/1919,10/1/1919,11/1/1919,12/1/1919,1/1/1920,2/1/1920,3/1/1920,4/1/1920,5/1/1920,6/1/1920,7/1/1920,8/1/1920,9/1/1920,10/1/1920,11/1/1920,12/1/1920,1/1/1921
209,2,3,2,0,1,0,0,0,1,12,7,11,4,2,8,2,1,2,0,1,0,2,3,3,1,10,6,1,0,1,0,1,0,0,0,2
211,4,4,5,2,1,0,0,1,1,26,29,19,8,5,9,3,2,0,1,0,0,0,1,2,3,13,6,3,0,0,0,1,1,1,1,1
213,1,1,2,1,0,0,0,0,0,2,6,1,7,4,3,0,0,0,0,0,0,0,3,1,0,2,3,0,0,0,0,0,0,0,2,0
215,6,2,3,4,1,0,0,1,1,4,6,11,10,7,9,4,1,0,0,1,1,1,1,3,5,38,17,3,1,2,1,1,1,4,0,3
217,3,6,2,1,5,2,4,2,3,103,23,34,15,7,12,3,2,1,1,1,1,2,3,8,10,49,6,1,6,2,0,1,0,3,4,3
219,3,1,3,2,1,0,1,0,0,2,2,4,4,0,4,0,0,2,1,1,1,0,2,2,1,8,0,0,0,1,0,1,0,0,1,2
221,4,2,3,5,1,0,0,0,2,10,19,16,39,15,7,6,3,1,2,0,0,0,2,3,7,28,6,2,2,0,0,0,0,2,2,1
223,4,2,0,1,0,1,0,0,0,14,25,27,2,5,5,4,4,0,0,1,1,2,2,2,4,37,2,3,0,0,1,0,0,4,2,1
225,3,2,3,1,2,1,0,0,1,8,9,33,14,12,8,5,1,1,0,0,1,2,2,1,4,18,6,5,1,0,0,1,0,1,1,5
227,0,0,2,0,0,0,0,0,0,3,5,9,4,4,4,0,0,1,0,1,1,0,1,1,2,2,3,0,1,0,0,0,0,1,0,0
229,6,3,1,3,0,0,0,1,2,30,15,25,6,9,9,1,4,0,1,0,0,0,1,4,2,17,10,1,1,1,0,0,0,0,1,2
510,250,228,304,291,123,89,61,72,113,837,884,1293,292,250,441,141,77,59,42,47,58,60,105,166,505,832,123,130,108,53,49,68,82,105,92,126
